sentence,intent
a ơi mà học ở đoạn nào a,School_infor
tr ở đoạn nào vậy a,School_infor
có phải khoa mình ở trên đường xuân thủy ko,School_infor
khoa mình vị trí chỗ nào ạ,School_infor
em ở hà đông không biết có gần khoa mình ko,School_infor
em ko biết khoa mình nằm ở đường nào,School_infor
add ơi cho e hỏi trường ở chỗ nào vậy ạ,School_infor
có gần hồ tùng mậu không ạ,School_infor
cho e địa chỉ chi tiết đk ko ạ,School_infor
vị trí của bạn ở đâu?,School_infor
dia chi cua truong?,School_infor
đâu là cơ sở chính ạ?,School_infor
địa chỉ củ thể của trường mình là ở đâu ạ,School_infor
địa chỉ ở đâu v ạ,School_infor
chính xác thì khoa mình ở chỗ nào vậy ad,School_infor
ad ơi địa chỉ trường mình là gì vậy ạ,School_infor
địa điểm chính xác của trg là ở đâu vậy ad?,School_infor
a ơi mà học ở đoạn nào a,School_infor
tr ở đoạn nào vậy a,School_infor
a ơi học tại trg à a,School_infor
add ơi cho e hỏi trường ở chỗ nào vậy ạ,School_infor
đc cụ thể của khoa mình ở đâu vậy ạ,School_infor
bạn cho mình hỏi khoa quốc tế - trường đhqghn nằm ở vị trí nào ạ o.o,School_infor
khoa mình nằm ở quận nào ạ,School_infor
khoa ở đoạn nào vậy ạ,School_infor
cho em xin địa chỉ liên hệ của trường nhé,School_infor
em ko biết vị trí của khoa chỗ nào,School_infor
a ơi học tại trg à a,School_infor
học ở cơ sở xuân thuỷ đúng k ạ,School_infor
vâng thế nếu học là học ở đhqghn hay ơ làng sinh viên ạ,School_infor
"và ad ơi , bọn em học 2 năm ở hacinco thì năm thứ 3 bọn em có được chuyển sang xuân thủy ko ạ ?",School_infor
học ở đâu vậy ad ??,School_infor
lúc vào học thì học ở trường chỗ cầu giấy hay chỗ nguỵ như komtum thanh xuân ạ,School_infor
cho e hỏi nếu học thì học ở cơ sở 1 hay cơ sở 2 ạ,School_infor
nếu em thi vào kế toán thì học ở đâu ạ,School_infor
ơ thế mới vào trường thì học ở đâu ạ,School_infor
"ad ơi cho e hỏi, e thấy khoa mình chỗ địa chỉ có ghi 2 cơ sở, vậy k17 sẽ học ở địa chỉ nào ạ?",School_infor
ad ơi cho em hỏi là sinh viên năm nhất của khoa mình khi học chính sẽ học ở cơ sở 1 hay cơ sở 2 ạ? mong ad trả lời giúp em,School_infor
mà bọn e năm nhất học ở cơ sở nào z ad,School_infor
c ơi sau này e học ở thanh xuân hay nguỵ như kon tum ạ,School_infor
cho em hỏi nếu em học ngành kinh doanh quốc tế thì học ở cơ sở nào ạ ??,School_infor
cho mình hỏi địa điểm học của lớp kinh doanh qt ở xuân thủy hay hacinco ?,School_infor
khoa quốc tế xong học ở đâu ạ??,School_infor
nếu nhập học thì sẽ học ở ở đâu ạ.,School_infor
học khoa này thì địa điểm học ở đâu ạ,School_infor
"ad oi, sao khoa quốc tế ở xuan thủy mà sao lại nhap hoc ở thanh xuân ạ.z học ở đâu ạ, có đc hoc ở xuan thủy k ạ??",School_infor
phải học ở nguỵ như kp ạ,School_infor
cho e hỏi mk học tại toà nào ạ,School_infor
ad ơi cho e hỏi là khoa kdqt học tại cơ sở 1( xuân thủy cầu giấy) hay cơ sở 2(handico) thế ạ,School_infor
thế mình có đến học ở xuân thuỷ không ạ,School_infor
mình học chính ở đâu ạ,School_infor
ad cho e hỏi e k16 mới nhập học bọn e học chủ yếu ở đâu vậy ạ,School_infor
năm đầu e hk cơ sở 2 còn năm 2 trở đi e hk ở xuân thủy hết ạ,School_infor
"em xin hỏi ạ, học keuka thì sẽ học ở đâu ạ? có trong khuôn viên đhqg ko ạ?",School_infor
"dạ, học tất cả các năm ở đấy luôn ạ?",School_infor
vậy có ngành gì học ở đhqg không ạ?,School_infor
ad ơi cho em hỏi địa chỉ lớp học bổ tuc tiếng anh dành cho sv k16 ở đâu thế ạ?,School_infor
cho e hỏi là k16 kinh doanh quốc tế học ở cơ sở nào ạ?,School_infor
anh chị cho em hỏi em học ngành kinh doanh quốc tế thì học tại cơ sở nào ạ ?,School_infor
cho e hỏi là mình học ở gần đh sư phạm hay là chỗ ngụy như kon tum ạ,School_infor
cho e hỏi là nếu đỗ thì sẽ học ở đâu ạ?,School_infor
kinh tế quốc tế k16 năm nay học ở đâu thế ạ,School_infor
k17 hệ thống thông tin học ở đâu vậy ạ,School_infor
cho e hỏi cái cử nhân quản lý thì sẽ được đào tạo ở đâu ạ,School_infor
có gần đại học kinh tế đại học quốc gia hà nội ko ạ,School_infor
nưm đầu học ở cầu giấy hay thanh xuân ạ,School_infor
67.hi ad e muốn hỏi năm nay em học ib năm nhất ở nguỵ như kontum thì năm sau vẫn học đây hay học ở xuân thuỷ ah,School_infor
vâng ah ko có sự thay đổi chỗ học ạ,School_infor
mà trường mk có 2 chi nhánh v chi nhánh nào là chính ạ?,School_infor
e học bên kế toán kiểm toán thì học ở đâu v ạ,School_infor
ad cho mình hỏi trường mình là học ở xuân thủy đúng ko ạ?,School_infor
ad ơi cho e hỏi là năm đầu bị học tận cơ sở 2 cơ ạ :((,School_infor
nếu học thì mình sẽ học ở cơ sở nào?,School_infor
ad ơi cho e hỏi ngành hệ thống thông tin quản lý đc học tại địa điểm nào ạ,School_infor
cho em hỏi khoa quốc tế đăng kí học ở cơ sở thanh xuân được ko ạ?,School_infor
"ad cho e hỏi là, khi học khoa quốc tế thì mình học ở bên cầu giấy hay bên thanh xuân ạ???",School_infor
alo cho e hỏi khóa sn95 khoa quốc tế học ở đâu vậy ạ,School_infor
vâng cho e hỏi thế có lớp nào học ở xuân thủy k ạ,School_infor
cho e hỏi là năm nhất học cs2 từ năm 2 trở đi có được về cs1 k ạ,School_infor
ad có thể cho e biết là năm đầu học ở ngụy như đến năm 2 hay bao giờ đc chuyển về học ở cầu giấy ạ,School_infor
cho e hỏi chỗ học của khoa quốc tế nằm ở đâu ạ,School_infor
hay học cả 5 năm bên đó ad,School_infor
à cho e hỏi nếu hc năm nhất bn e hc ở đâu ạ,School_infor
ad cho e hỏi khoa mình học ở cơ sở 1 hay 2 ạ,School_infor
ib học ở đâu ạ,School_infor
học 4 năm học bên hancico ạ,School_infor
ad ơi năm nhất học ở xuân thủy hay thanh xuân ạ,School_infor
ad cho e hỏi khoa mình học ở cơ sở 1 hay 2 ạ?,School_infor
ad ơi sinh viên năm đầu thì học ở cơ sở nào vậy ạ? ở cầu giấy hay bên làng sv hacinco ạ?,School_infor
mis học ở đâu ạ,School_infor
ac học ở đâu ạ,School_infor
ice học ở thanh xuân đúng không ạ,School_infor
có được chọn địa điểm học không ạ,School_infor
học ở cơ sở 1 hay cơ sở 2 tốt hơn ạ,School_infor
cơ sở xuân thủy dành cho những ngành nào ạ,School_infor
tiếng anh dự bị học ở đâu vậy ad,School_infor
ad đang học ở cơ sở mấy ạ,School_infor
em nghe nói miss học ở xuân thủy hay ở đâu ạ,School_infor
ad cho em hỏi là năm 1 học ở cơ sở nào ạ,School_infor
"ad cho e hỏi, toàn bộ thời gian học ở khoa đều học ở cơ sở 2 ạ??",School_infor
học chính thức ở cs làng sv hay cầu giáy vậy admin,School_infor
trường mình có 2 cơ sở thì muốn học ở đâu cũng dc ạ,School_infor
phải học ở ngụy như kon tum ạ,School_infor
nưm đầu học ở cầu giấy hay thanh xuân ạ,School_infor
khoa quốc tế có mấy cơ sở ạ,School_infor
cơ sở nào là cơ sở chính của khoa mình vậy ạ,School_infor
cho em hỏi văn phòng điều hành đặt ở cơ sở nào ạ,School_infor
làng sinh viên là cơ sở mấy ạ,School_infor
xuân thủy là cơ sở mấy ạ,School_infor
kiều mai là cơ sở mấy ạ,School_infor
nhà 21t là cơ sở mấy ạ,School_infor
xuân thủy học ở tòa nhà nào ad,School_infor
cơ sở làng sinh viên học ở những tòa nhà nào vaayj ạ,School_infor
nhà c thuộc cơ sở nào hả ad,School_infor
nhà e thuộc cơ sở nào vây ạ,School_infor
cơ sở xuân thủy là tòa nhà nào trong khuôn viên đhqg ạ ?,School_infor
cơ sở nào của khoa có kí túc xá vậy ạ,School_infor
cơ sở nào mới được xây dựng ạ,School_infor
địa chỉ cụ thể của cơ sở kiều mai là ở đâu ạ,School_infor
địa chỉ cụ thể của cơ sở xuân thủy là ở đâu ạ,School_infor
địa chỉ cụ thể của cơ sở hancico là ở đâu ạ,School_infor
cơ sở vật chất hancico thế nào ạ,School_infor
cho em hỏi đâu là cơ sở chính ạ,School_infor
cho em hỏi phòng máy g7 là cơ sở nào ạ,School_infor
làng sinh viên có căng-tin không ạ,School_infor
nhà e là ở đâu,School_infor
cho em hỏi truong minh co may co so vay a?,School_infor
"học tại cơ sở 1 và cơ sở 2,3 có khác j nhau ko ạ",School_infor
phòng 304 nhà e là ở địa chỉ nào ạ,School_infor
khoa mình có tất cả mấy cơ sở ah,School_infor
g7 là ở cơ sở nào vậy ad,School_infor
kiều mai là cơ sở 3 hay 2 ạ,School_infor
khoa qt thành lập bao h,School_infor
cho em hỏi khoa quốc tế thành lập năm nào vậy ạ,School_infor
khoa mình được thành lập vào ngày cụ thể nào ạ,School_infor
khoa được bao nhiêu năm tuổi rồi,School_infor
thời gian thành lập của khoa là từ khi nào ạ,School_infor
khoa thành lập lâu chưa,School_infor
khoa mình tuổi đời còn trẻ đúng không ad,School_infor
khoa quoc tế có từ khi nào,School_infor
thời gian thành lập của khoa là ngày nào ạ,School_infor
cho mình hỏi ngày sinh nhật của khoa quốc tế với ạ,School_infor
ngày ra đời của khoa mình là hôm nào ạ,School_infor
khoa kỷ niệm sinh nhật vào ngày tháng nào,School_infor
khoa thành lập vào ngày tháng năm nào,School_infor
em ko biết ngày sinh của khoa,School_infor
bạn cho mình hỏi ngày thành lập của khoa nhé,School_infor
mình đang tìm hiểu về khoa và muốn biết ngày thành lập ạ,School_infor
khoa quốc tế có từ bao giờ,School_infor
mình muốn biết khoa ra đời khi nào,School_infor
khoa mình có truyền thống được bao nhiêu năm rồi,School_infor
ngày thành lập khoa mình là ngày nào vậy ad,School_infor
khoa mình có phải thành lập tháng 7 không,School_infor
ngày 24/7 có phải ngày thành lập của khoa ko nhỉ,School_infor
em ko biết khoa thành lập từ lúc nào ạ,School_infor
khoa mình có từ lâu chưa,School_infor
khoa được thành lập khi nào ạ,School_infor
khoa quốc tế có từ lâu chưa ạ hay là khoa mới của trường ạ?,School_infor
khoa qt gồm những phòng nào ?,School_infor
chức năng cụ thể của các phòng ban là gì,School_infor
khoa qt có các trung tâm nào ?,School_infor
khoa mình có những bộ môn nào ?,School_infor
khoa qt có bao nhiêu bộ môn ?,School_infor
cơ cấu tổ chức của khoa như thế nào?,School_infor
khoa quốc tế có những phòng nào ?,School_infor
khoa mình chia ra làm bao nhiêu bộ môn ?,School_infor
cơ cấu tổ chức của khoa mình thế nào nhỉ,School_infor
khoa có mấy đơn vị phòng ban,School_infor
tổ chức phòng ban của khoa mình thế nào nhỉ,School_infor
khoa mình có những đơn vị trực thuộc nào,School_infor
nhiệm vụ của kqt là gì ?,School_infor
tầm nhìn của khoa quốc tế là gì,School_infor
giá trị cốt lỗi của kqt là gì ?,School_infor
sứ mệnh của khoa quốc tế là gì,School_infor
khoa quốc tế khác gì so với các trường khác,School_infor
điểm đặc biệt của khoa quốc té là gì,School_infor
học ở khoa thì có ưu điểm gì so với ở các trường khác ngoài tiếng anh ạ,School_infor
khoa mình đặc thù đào tạo là igf,School_infor
khoa có điểm đặc biệt gì để thu hút thí sinh,School_infor
khoa mình định hướng nhiệm vụ gì ạ,School_infor
cho mình hỏi khoa quốc tế gồm những nghành nào v ạ,School_infor
muốn liên lạc vs khoa qt gọi số nào ad,contact_point
email thầy hoàng là gì ạ,contact_point
ad cho em sđt của cô yến/ cô ngọc hoa đc k ah,contact_point
sdt phòng tuyển sinh là số nào vậy,contact_point
cho em hỏi sdt của phòng cthssv với ạ,contact_point
em muốn liên hệ với thầy jason thì làm thé nào ạ,contact_point
ad ơi cho em hỏi sdt của thầy tùng dạy tin học cơ sở ạ,contact_point
muốn hỏi về tiền học thì gọi cho ai ạ,contact_point
em muôn liên lạc với clb tình nguyện thì làm thé nào vậy admin,contact_point
số đt hotline của khoa qt là bao nhiêu vậy ?,contact_point
phòng tuyển sinh gọi số nào thế ?,contact_point
cho em hỏi email của thầy omar để em nộp bài ạ,contact_point
fb thầy thành là gì vậy cô ?,contact_point
cho em hỏi cách liên lạc với phòng kế toán,contact_point
thầy thanh sđt bao nhiu thế ạ ?,contact_point
xem email các thầy/cô ở đâu vậy ạ,contact_point
cô oi cho em xin sdt của khoa quốc tế với ạ,contact_point
sdt cơ sở kiều mai baonhieeu ạ,contact_point
